hh_id,username,completed_time,hh_id__1,gender,age,lived_movedin,movedin_month,movedin_bc_hurricane,status,missing_month,left_month,left_b_p_hurricane,left_bc_hurricane,left_first,left_final,hh_mem_num
26,CENSORED,NA,0,1,74,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
26,CENSORED,NA,1,0,69,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
27,CENSORED,NA,0,0,65,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
27,CENSORED,NA,1,1,75,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
27,CENSORED,NA,2,1,39,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
28,CENSORED,NA,0,0,46,2,8,0,1,NA,NA,NA,0,NA,NA,1
28,CENSORED,NA,1,1,49,2,8,0,1,NA,NA,NA,0,NA,NA,2
28,CENSORED,NA,2,0,25,2,8,0,1,NA,NA,NA,0,NA,NA,3
28,CENSORED,NA,3,1,26,2,8,0,1,NA,NA,NA,0,NA,NA,4
28,CENSORED,NA,4,0,27,2,9,1,3,NA,10,NA,0,5,5,5
28,CENSORED,NA,5,1,26,2,9,1,3,NA,10,NA,0,5,5,6
28,CENSORED,NA,6,1,4,2,9,1,3,NA,10,NA,0,5,5,7
28,CENSORED,NA,7,1,6,2,9,1,3,NA,10,NA,0,5,5,8
29,CENSORED,NA,0,0,73,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
29,CENSORED,NA,1,0,39,2,9,1,1,NA,NA,NA,0,NA,NA,2
29,CENSORED,NA,2,1,42,2,9,1,1,NA,NA,NA,0,NA,NA,3
29,CENSORED,NA,3,0,2,2,9,1,1,NA,NA,NA,0,NA,NA,4
30,CENSORED,NA,0,0,59,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
30,CENSORED,NA,1,1,49,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
30,CENSORED,NA,2,1,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
30,CENSORED,NA,3,0,23,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
31,CENSORED,NA,0,1,54,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
31,CENSORED,NA,1,0,53,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
31,CENSORED,NA,2,0,23,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
32,CENSORED,NA,0,1,50,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
32,CENSORED,NA,1,0,49,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
32,CENSORED,NA,2,1,23,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
33,CENSORED,NA,0,1,73,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
33,CENSORED,NA,1,0,70,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
34,CENSORED,NA,0,0,67,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
35,CENSORED,NA,0,0,41,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
35,CENSORED,NA,1,1,45,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
35,CENSORED,NA,2,1,7,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
35,CENSORED,NA,3,0,12,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
36,CENSORED,NA,0,0,43,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
36,CENSORED,NA,1,0,68,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
36,CENSORED,NA,2,1,19,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
36,CENSORED,NA,3,0,24,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
36,CENSORED,NA,4,1,53,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5
37,CENSORED,NA,0,0,55,2,12,1,1,NA,NA,NA,0,NA,NA,1
37,CENSORED,NA,1,1,51,2,12,1,1,NA,NA,NA,0,NA,NA,2
37,CENSORED,NA,2,1,19,2,12,1,1,NA,NA,NA,0,NA,NA,3
38,CENSORED,NA,0,1,58,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
